uid,namedLocation,date,eventID,domainID,siteID,plotID,taxonID,scientificName,taxonRank,measuredBy,recordedBy,individualID,pointID,stemDistance,stemAzimuth
6416832c-c0bc-4186-a20d-cbf72b2059ac,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,BEPA,Betula papyrifera Marshall,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.02942,41,5.5,340.5
782f0b02-0987-414b-a6ff-1fa4932862ab,HARV_044.basePlot.vst,2015-10-27,vst_HARV_2015,D01,HARV,HARV_044,BEPAP,Betula papyrifera Marshall var. papyrifera,variety,68d699c2b09c95cbce509408570754b7,352bf92fef709919c49b8bf3805baa96,NEON.PLA.D01.HARV.10434,23,7.7,277.1
7039afc7-535a-41bc-82f5-037fc46da1d1,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,QUAL,Quercus alba L.,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.03114,41,8.6,214.1
d497fae6-fc46-44e2-8062-834045ad3482,HARV_041.basePlot.vst,2017-10-02,vst_HARV_2017,D01,HARV,HARV_041,BEAL2,Betula alleghaniensis Britton,species,521ed1ff5d1a4cda901a7232ba335fae,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.09371A,57,7.5,150.9
6351c6cd-84df-4f81-9454-cfcec6c6a8ac,HARV_006.basePlot.vst,2015-08-27,vst_HARV_2015,D01,HARV,HARV_006,QURU,Quercus rubra L.,species,41e2e415cc3c6d2d1a79b3e73fa8def7,00dcd884fa3679b510ba68961ca9637c,NEON.PLA.D01.HARV.01167,41,4.2,5.3
83ca5add-07c4-46eb-a823-b72feb0e8466,HARV_047.basePlot.vst,2015-10-26,vst_HARV_2015,D01,HARV,HARV_047,QURU,Quercus rubra L.,species,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.HARV.10356,21,13.8,36.9
3acd7a26-5c64-4bea-9d61-b27b381ea476,HARV_022.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_022,PIST,Pinus strobus L.,species,fded07b2e763e3b084f1e15cf9e3120f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.01222,41,10.2,342.5
f2c4cae2-cc1a-4b1d-bfa5-63c860c08331,HARV_017.basePlot.vst,2018-10-25,vst_HARV_2018,D01,HARV,HARV_017,ACRU,Acer rubrum L.,species,b10d835c1def5a77557be2b76be9340e,f179577deeef1cdf79bd8e776607ae61,NEON.PLA.D01.HARV.10525,33,4.1,309.9
b1cba42a-325d-44e2-b79f-14e002c46e75,HARV_014.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_014,PIST,Pinus strobus L.,species,201239c79f68859821be3b816d69a79f,46c07c70795040ab03a1d4143d64c8f6,NEON.PLA.D01.HARV.09978,51,4.8,18
ac5d924d-9dab-49d7-b0ac-81db608ab952,HARV_034.basePlot.vst,2018-07-16,vst_HARV_2018,D01,HARV,HARV_034,PINUS,Pinus sp.,genus,eb1c06d388ce7cb8e881417310aac1de,d6bd19cd6976b007ad17a1a634f021a9,NEON.PLA.D01.HARV.05377,50,2.4,218.6
2beded01-3ae4-46c8-98c4-ad9d54969df5,HARV_022.basePlot.vst,2015-09-23,vst_HARV_2015,D01,HARV,HARV_022,PIST,Pinus strobus L.,species,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.HARV.01413,25,23.9,300.5
b4be28da-dca4-4acb-81dc-0f1ab78c137a,HARV_015.basePlot.vst,2018-10-24,vst_HARV_2018,D01,HARV,HARV_015,QURU,Quercus rubra L.,species,eb1c06d388ce7cb8e881417310aac1de,3a432598afe79087fd561f7917898394,NEON.PLA.D01.HARV.10633,49,11.2,154.7
3223dedd-78f0-4b8a-9ee6-7e7d6104bba2,HARV_022.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_022,BELE,Betula lenta L.,species,fded07b2e763e3b084f1e15cf9e3120f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.01217,49,2.5,173.1
7bdbbf9d-6287-4eee-bde7-8ed7ca303418,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,BEPA,Betula papyrifera Marshall,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.03115,31,1.5,83
945d94f8-4e75-4598-8fc5-c284df677fa3,HARV_048.basePlot.vst,2015-10-22,vst_HARV_2015,D01,HARV,HARV_048,TSCA,Tsuga canadensis (L.) Carrière,species,201239c79f68859821be3b816d69a79f,352bf92fef709919c49b8bf3805baa96,NEON.PLA.D01.HARV.10317,25,2.2,298.3
a5a1bd36-000e-4531-bda7-84cdd98c31dd,HARV_047.basePlot.vst,2015-10-26,vst_HARV_2015,D01,HARV,HARV_047,ACRU,Acer rubrum L.,species,201239c79f68859821be3b816d69a79f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.HARV.10351,59,12.7,149.1
dc00325d-eb76-4479-95a2-8b2a0af36cb1,HARV_046.basePlot.vst,2015-11-03,vst_HARV_2015,D01,HARV,HARV_046,PICEA,Picea sp.,genus,8d6e06c36d180a9f5e15d5c752a03331,9a97c0579aacdd10243b8adb58774856,NEON.PLA.D01.HARV.10849,57,21,92
239ccb81-1070-4ce5-8a4c-cca8fa3c9ebf,HARV_050.basePlot.vst,2017-10-04,vst_HARV_2017,D01,HARV,HARV_050,ACRU,Acer rubrum L.,species,521ed1ff5d1a4cda901a7232ba335fae,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00532,61,12.2,243.4
54674b5a-2f33-407c-8bce-b576e4d32b1f,HARV_044.basePlot.vst,2015-10-27,vst_HARV_2015,D01,HARV,HARV_044,TSCA,Tsuga canadensis (L.) Carrière,species,68d699c2b09c95cbce509408570754b7,352bf92fef709919c49b8bf3805baa96,NEON.PLA.D01.HARV.10417,41,7.2,89.8
26303609-8b69-4328-b0a0-839d60c1f3d9,HARV_050.basePlot.vst,2017-10-04,vst_HARV_2017,D01,HARV,HARV_050,TSCA,Tsuga canadensis (L.) Carrière,species,521ed1ff5d1a4cda901a7232ba335fae,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00497,43,7.7,343.7
4c25aba5-b841-4fc9-b592-ca97a3bc421e,HARV_034.basePlot.vst,2015-11-13,vst_HARV_2015,D01,HARV,HARV_034,FAGR,Fagus grandifolia Ehrh.,species,caec9737320af922f669463cb0115b04,8d6e06c36d180a9f5e15d5c752a03331,NEON.PLA.D01.HARV.10876,41,5.1,172.6
ac2c7067-4b34-4ac7-a162-5e223dba0b1d,HARV_034.basePlot.vst,2015-11-13,vst_HARV_2015,D01,HARV,HARV_034,TSCA,Tsuga canadensis (L.) Carrière,species,caec9737320af922f669463cb0115b04,8d6e06c36d180a9f5e15d5c752a03331,NEON.PLA.D01.HARV.10877,23,12.3,32.8
1409f3fb-f7fb-44ab-9356-7e86327b66d0,HARV_021.basePlot.vst,2015-10-01,vst_HARV_2015,D01,HARV,HARV_021,BELE,Betula lenta L.,species,68d699c2b09c95cbce509408570754b7,352bf92fef709919c49b8bf3805baa96,NEON.PLA.D01.HARV.09977,21,25.6,33.9
e495a0d9-5d81-4e02-a563-997d028ea48e,HARV_020.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_020,FRAM2,Fraxinus americana L.,species,3e3a6efe33ef05b48d7a9e9f3f72bba0,caec9737320af922f669463cb0115b04,NEON.PLA.D01.HARV.01967,57,22.4,96.3
7d5ba1d0-4cf0-4843-a052-d902085445b0,HARV_022.basePlot.vst,2015-09-23,vst_HARV_2015,D01,HARV,HARV_022,QUAL,Quercus alba L.,species,fded07b2e763e3b084f1e15cf9e3120f,68d6963781c783a82f35ef6a847dbac3,NEON.PLA.D01.HARV.01201,31,2.6,29.7
ce81c701-6db7-4836-95fd-6c5fc9fc689e,HARV_046.basePlot.vst,2015-11-03,vst_HARV_2015,D01,HARV,HARV_046,PICEA,Picea sp.,genus,8d6e06c36d180a9f5e15d5c752a03331,9a97c0579aacdd10243b8adb58774856,NEON.PLA.D01.HARV.10853,57,34.6,92.3
a23bf9b6-5b9a-4484-ad69-da6224544fb6,HARV_017.basePlot.vst,2018-10-25,vst_HARV_2018,D01,HARV,HARV_017,ACRU,Acer rubrum L.,species,b10d835c1def5a77557be2b76be9340e,c8ef7b059aab4c039eac6e8c49406af4,NEON.PLA.D01.HARV.10532,51,7.3,184.4
433a6ca9-abe6-4ed1-8428-8f3b9651e225,HARV_034.basePlot.vst,2016-10-03,vst_HARV_2016,D01,HARV,HARV_034,TSCA,Tsuga canadensis (L.) Carrière,species,31fb93825ff2ca2dd9986bf9760b15af,2970fa47ca07eb507528520037f7fa84,NEON.PLA.D01.HARV.10605,41,6.3,90.9
275c2498-4d08-49c8-bead-01c24cf5753a,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,PIRI,Pinus rigida Mill.,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.03116,41,3.9,173.3
92b82f63-2255-4c90-adc1-03edcfe8deb0,HARV_033.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_033,PIAB,Picea abies (L.) Karst.,species,31fb93825ff2ca2dd9986bf9760b15af,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.05616,41,5.2,124.9
85fc2e69-48d6-446f-8792-e21e0526a0ec,HARV_050.basePlot.vst,2017-10-04,vst_HARV_2017,D01,HARV,HARV_050,TSCA,Tsuga canadensis (L.) Carrière,species,521ed1ff5d1a4cda901a7232ba335fae,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00556,59,8.7,147.5
d4e61b06-24c1-44ad-9d2e-a7b4bab15b5c,HARV_048.basePlot.vst,2015-10-22,vst_HARV_2015,D01,HARV,HARV_048,BELE,Betula lenta L.,species,201239c79f68859821be3b816d69a79f,352bf92fef709919c49b8bf3805baa96,NEON.PLA.D01.HARV.10322,57,4.4,113.1
024c149b-04f1-4827-889d-3e29dc8b970f,HARV_049.basePlot.vst,2018-11-28,vst_HARV_2018,D01,HARV,HARV_049,TSCA,Tsuga canadensis (L.) Carrière,species,1fb0ab702a1e349ebe60576a6a07ab87,1fb0ab702a1e349ebe60576a6a07ab87,NEON.PLA.D01.HARV.08074,43,12.3,330.4
2e44150e-373b-4e85-a196-67a601a3c3a3,HARV_004.basePlot.vst,2015-08-27,vst_HARV_2015,D01,HARV,HARV_004,CAOV2,Carya ovata (Mill.) K. Koch,species,fc871354fbf5b2b8279f82b7e40032d2,00dcd884fa3679b510ba68961ca9637c,NEON.PLA.D01.HARV.01913,31,10.1,65.8
e8f4439f-380f-42ba-9275-5fb8b8c0cd3c,HARV_022.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_022,PIST,Pinus strobus L.,species,fded07b2e763e3b084f1e15cf9e3120f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.01404,25,21.4,312.7
b7b015ee-2b61-4f3f-8b72-76d1cd89fbb3,HARV_045.basePlot.vst,2015-10-20,vst_HARV_2015,D01,HARV,HARV_045,ACRU,Acer rubrum L.,species,3e3a6efe33ef05b48d7a9e9f3f72bba0,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.09984,23,5.3,85.8
e6ee2004-8bd9-4a35-8e2d-43b87196240d,HARV_035.basePlot.vst,2018-11-28,vst_HARV_2018,D01,HARV,HARV_035,ACRU,Acer rubrum L.,species,1fb0ab702a1e349ebe60576a6a07ab87,1fb0ab702a1e349ebe60576a6a07ab87,NEON.PLA.D01.HARV.04537,39,9.9,134.1
bdf23010-1877-45b9-84bd-681df0d34cff,HARV_043.basePlot.vst,2018-11-28,vst_HARV_2018,D01,HARV,HARV_043,TSCA,Tsuga canadensis (L.) Carrière,species,1fb0ab702a1e349ebe60576a6a07ab87,1fb0ab702a1e349ebe60576a6a07ab87,NEON.PLA.D01.HARV.04958,21,12.5,55.5
2f1d279e-5f70-4e12-9bac-0650cd417fd9,HARV_033.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_033,ACRU,Acer rubrum L.,species,31fb93825ff2ca2dd9986bf9760b15af,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.05650,23,9.9,40.8
6665ffd6-776f-46d3-ac17-2aa171d0e701,HARV_033.basePlot.vst,2016-07-26,vst_HARV_2016,D01,HARV,HARV_033,PIAB,Picea abies (L.) Karst.,species,31fb93825ff2ca2dd9986bf9760b15af,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.05628,41,15.4,113.5
6050b00b-5a43-4ad4-872c-36884ff11e14,HARV_006.basePlot.vst,2015-08-27,vst_HARV_2015,D01,HARV,HARV_006,QURU,Quercus rubra L.,species,41e2e415cc3c6d2d1a79b3e73fa8def7,00dcd884fa3679b510ba68961ca9637c,NEON.PLA.D01.HARV.01791,33,5.7,313.9
0e971d36-ef2f-4b4c-9c54-24e4aa122c6d,HARV_004.basePlot.vst,2015-08-27,vst_HARV_2015,D01,HARV,HARV_004,ACRU,Acer rubrum L.,species,2a8f938a68341f0c0a4963692f2733f0,00dcd884fa3679b510ba68961ca9637c,NEON.PLA.D01.HARV.09591,41,8.7,0.3
206f9442-8563-4d18-89b8-26d23304e249,HARV_015.basePlot.vst,2018-10-24,vst_HARV_2018,D01,HARV,HARV_015,QUVE,Quercus velutina Lam.,species,eb1c06d388ce7cb8e881417310aac1de,3a432598afe79087fd561f7917898394,NEON.PLA.D01.HARV.10211,51,5.3,247.5
c7c02101-8b67-417e-93cb-cd24198542bb,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,PIST,Pinus strobus L.,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.02932,33,3.9,337.3
acf4f0ba-86f5-4dc0-807b-9639973cf1cb,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,QURU,Quercus rubra L.,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.02935,33,2.6,350
643d103e-825c-4c77-aa19-07ee05f29516,HARV_026.basePlot.vst,2015-09-21,vst_HARV_2015,D01,HARV,HARV_026,QURU,Quercus rubra L.,species,201239c79f68859821be3b816d69a79f,68d699c2b09c95cbce509408570754b7,NEON.PLA.D01.HARV.02930,49,6.1,126.1
ab943351-3669-4db3-a55b-84c58bb67049,HARV_017.basePlot.vst,2018-10-25,vst_HARV_2018,D01,HARV,HARV_017,PIST,Pinus strobus L.,species,b10d835c1def5a77557be2b76be9340e,c8ef7b059aab4c039eac6e8c49406af4,NEON.PLA.D01.HARV.10526,33,4,338.6
b897196a-8649-42ff-8aac-4eb16290dd9f,HARV_038.basePlot.vst,2018-11-29,vst_HARV_2018,D01,HARV,HARV_038,ACRU,Acer rubrum L.,species,1fb0ab702a1e349ebe60576a6a07ab87,1fb0ab702a1e349ebe60576a6a07ab87,NEON.PLA.D01.HARV.05754,43,0.7,255.5
b3704ccd-ad8c-4c89-ba34-6ffa96ac91b6,HARV_050.basePlot.vst,2017-10-04,vst_HARV_2017,D01,HARV,HARV_050,TSCA,Tsuga canadensis (L.) Carrière,species,521ed1ff5d1a4cda901a7232ba335fae,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00558,59,9.9,155.8
667dfe12-819c-4e05-8037-61146f6b2162,HARV_015.basePlot.vst,2018-10-24,vst_HARV_2018,D01,HARV,HARV_015,QUVE,Quercus velutina Lam.,species,eb1c06d388ce7cb8e881417310aac1de,3a432598afe79087fd561f7917898394,NEON.PLA.D01.HARV.10997,51,1,216.4
62f169a4-0523-4217-9491-78255446f454,HARV_006.basePlot.vst,2015-08-27,vst_HARV_2015,D01,HARV,HARV_006,QURU,Quercus rubra L.,species,41e2e415cc3c6d2d1a79b3e73fa8def7,00dcd884fa3679b510ba68961ca9637c,NEON.PLA.D01.HARV.01179,41,5.9,72.2
73b067a7-747c-4245-bd59-3747c44d75f0,HARV_050.basePlot.vst,2017-10-04,vst_HARV_2017,D01,HARV,HARV_050,QURU,Quercus rubra L.,species,521ed1ff5d1a4cda901a7232ba335fae,b10d835c1def5a77557be2b76be9340e,NEON.PLA.D01.HARV.00554,61,15.1,239
3bf2258f-208e-4a82-8da5-f9ad44391af4,HARV_015.basePlot.vst,2018-10-24,vst_HARV_2018,D01,HARV,HARV_015,QUVE,Quercus velutina Lam.,species,eb1c06d388ce7cb8e881417310aac1de,3a432598afe79087fd561f7917898394,NEON.PLA.D01.HARV.10986,33,6.4,303.2
